===== Aggregate Results =====
  j2j         : 0.0316
  j2b         : 0.0242
  b2b         : 0.0206
  iou         : 0.7774
  precision   : 0.8484
  recall      : 0.8443

  Evaluated : 1994
  Skipped   : 3
  Avg infer : 6.29s/sample

Per-sample results saved to: outputs/data/final_full_run\results.csv

===== Per-Category Results =====
category_label                                          j2j         j2b         b2b         iou   precision      recall     n
accessory                                          0.112464    0.091626    0.077454    0.359739    0.421340    0.518898     7
accessory, clothing                                0.077148    0.056052    0.042084    0.333333    0.500000    0.500000     1
accessory, tool                                    0.040497    0.029952    0.031006    0.523810    0.705882    0.687500     1
anatomical                                         0.007183    0.005878    0.005829    1.000000    1.000000    1.000000     1
anatomy                                            0.039477    0.026122    0.022405    0.673837    0.760193    0.770309    44
anatomy, anthropomorphic                           0.018275    0.011214    0.011004    0.898551    0.950000    0.933333     3
anatomy, scanned data                              0.025705    0.017169    0.012737    0.793155    0.853070    0.880208     4
animal                                             0.047785    0.037244    0.030573    0.575156    0.699582    0.681512   173
animal, accessory                                  0.042725    0.029723    0.023495    0.428571    0.724138    0.555556     1
animal, anthropomorphic                            0.027789    0.022336    0.019954    0.815404    0.879707    0.853228    40
animal, electronic device, anthropomorphic         0.049988    0.034411    0.030436    0.304348    0.583333    0.388889     1
animal, miscellaneous                              0.081055    0.065687    0.048361    0.258065    0.444444    0.434783     1
animal, mythical creature                          0.033038    0.027672    0.024800    0.765882    0.858074    0.855872    14
animal, mythical creature, anthropomorphic         0.115845    0.104854    0.089492    0.250000    0.400000    0.400000     1
animal, scanned data                               0.044983    0.036642    0.032921    0.416667    0.666667    0.678571     1
animal, toy                                        0.073903    0.054625    0.049177    0.368535    0.436623    0.549091     5
anthropomorphic                                    0.029537    0.021883    0.017330    0.774502    0.859986    0.848803   111
anthropomorphic, accessory                         0.098022    0.067119    0.052811    0.193966    0.369318    0.339286     2
anthropomorphic, animal                            0.037941    0.029365    0.026425    0.635141    0.765818    0.759192     8
anthropomorphic, animal, character                 0.007282    0.006020    0.005809    1.000000    1.000000    1.000000     1
anthropomorphic, animal, toy                       0.010468    0.007537    0.007460    1.000000    1.000000    1.000000     1
anthropomorphic, character                         0.015198    0.011252    0.009488    0.944061    0.952515    0.991847    15
anthropomorphic, clothing                          0.077652    0.064456    0.070065    0.526786    0.708333    0.552521     2
anthropomorphic, electronic device                 0.049990    0.042718    0.041959    0.610923    0.734962    0.720640     3
anthropomorphic, food                              0.089082    0.082306    0.070764    0.559048    0.652503    0.706385     4
anthropomorphic, mythical creature                 0.038952    0.031080    0.028066    0.695502    0.795174    0.800268    24
anthropomorphic, plant                             0.021935    0.016813    0.019496    0.823342    0.918571    0.882440     2
anthropomorphic, scanned data                      0.048126    0.041039    0.040652    0.464286    0.705882    0.732143     2
anthropomorphic, sculpture                         0.009241    0.007107    0.006824    1.000000    1.000000    1.000000     2
anthropomorphic, tool                              0.067562    0.050921    0.043256    0.363528    0.497222    0.434848     4
anthropomorphic, toy                               0.034354    0.025865    0.020303    0.775709    0.850757    0.844793    39
anthropomorphic, weapon                            0.065033    0.042337    0.032375    0.440476    0.550000    0.504762     2
architecture                                       0.218481    0.191407    0.173950    0.273864    0.354167    0.333333     8
architecture, mythical creature                    0.227295    0.218147    0.164101    0.000000    0.000000    0.000000     1
character                                          0.014751    0.010843    0.009358    0.925587    0.961307    0.958060   504
character, accessory                               0.007633    0.006876    0.007322    1.000000    1.000000    1.000000     1
character, anatomy                                 0.008560    0.006331    0.005952    0.979167    0.979167    1.000000     2
character, animal, anthropomorphic                 0.010361    0.006828    0.006197    1.000000    1.000000    1.000000     1
character, anthropomorphic                         0.018132    0.013752    0.011775    0.892360    0.939540    0.944276   425
character, anthropomorphic, mythical creature      0.018567    0.013323    0.011327    0.909091    0.952381    0.945971     3
character, anthropomorphic, toy                    0.020230    0.014482    0.012436    0.817535    0.890392    0.888133     7
character, anthropomorphic, weapon                 0.007904    0.007181    0.006820    1.000000    1.000000    1.000000     1
character, clothing                                0.009479    0.006650    0.006555    1.000000    1.000000    1.000000     5
character, electronic device                       0.008255    0.006451    0.007229    1.000000    1.000000    1.000000     1
character, humanoid                                0.010529    0.009557    0.008499    1.000000    1.000000    1.000000     1
character, humanoid, mythical creature             0.027161    0.022036    0.021629    0.736842    0.875000    0.823529     1
character, mythical creature                       0.017434    0.013464    0.013596    0.868760    0.961751    0.898581    11
character, mythical creature, anthropomorphic      0.006538    0.005104    0.004809    1.000000    1.000000    1.000000     1
character, scanned data                            0.013525    0.009915    0.008610    0.952098    0.982065    0.972979    31
character, sculpture                               0.012329    0.009382    0.009421    1.000000    1.000000    1.000000     1
character, sporting goods                          0.008308    0.006037    0.005484    1.000000    1.000000    1.000000     2
character, tool                                    0.018333    0.011159    0.010117    1.000000    1.000000    1.000000     2
character, toy                                     0.015853    0.012272    0.010727    0.914469    0.930102    0.985439     7
character, toy, anthropomorphic                    0.007793    0.006509    0.006357    1.000000    1.000000    1.000000     2
character, weapon                                  0.022469    0.017383    0.014410    0.804257    0.889170    0.891970    17
character, weapon, anthropomorphic                 0.021500    0.017626    0.016776    0.807760    0.899297    0.909091     3
clothing                                           0.026867    0.019258    0.016147    0.767184    0.809728    0.835836    21
clothing, accessory                                0.049866    0.040034    0.027007    0.411765    0.500000    0.700000     1
clothing, armor                                    0.041138    0.039455    0.041157    0.861111    0.885714    0.970588     1
clothing, scanned data                             0.006310    0.005539    0.003872    1.000000    1.000000    1.000000     1
electronic device                                  0.073664    0.048242    0.041816    0.476062    0.629613    0.558667    13
electronic device, anthropomorphic                 0.076558    0.059998    0.047283    0.389582    0.755556    0.477451     3
electronic device, mythical creature               0.085876    0.062939    0.059572    0.074074    0.133333    0.142857     1
food                                               0.054377    0.037252    0.032586    0.600395    0.713123    0.725132     6
furniture                                          0.062810    0.045026    0.035975    0.496526    0.713919    0.631825     7
furniture, miscellaneous, accessory                0.210693    0.208945    0.155399    0.200000    0.333333    0.333333     1
household item                                     0.059395    0.043147    0.039570    0.623118    0.759583    0.759898     8
human, anthropomorphic                             0.007866    0.005646    0.005783    1.000000    1.000000    1.000000     1
humanoid, sculpture                                0.044617    0.024170    0.016409    0.371429    0.481481    0.636364     1
jewelry                                            0.057129    0.039424    0.032920    0.642857    0.666667    0.833333     2
miscellaneous                                      0.093678    0.071675    0.064217    0.360855    0.442453    0.435798    19
musical instrument                                 0.013981    0.009631    0.008072    1.000000    1.000000    1.000000     2
mythical creature                                  0.055005    0.044076    0.038038    0.543990    0.663958    0.658165    99
mythical creature, anatomy                         0.029785    0.026580    0.022887    0.733333    0.916667    0.785714     1
mythical creature, animal                          0.029171    0.024776    0.020403    0.791667    0.818182    0.875000     4
mythical creature, anthropomorphic                 0.034356    0.027331    0.022305    0.735933    0.813596    0.833639    82
mythical creature, character                       0.009956    0.006347    0.005852    1.000000    1.000000    1.000000     1
mythical creature, miscellaneous                   0.172852    0.162849    0.171889    0.235294    0.545455    0.333333     1
mythical creature, sculpture                       0.089752    0.076744    0.073107    0.305556    0.485294    0.324561     2
mythical creature, toy                             0.054535    0.044837    0.046450    0.552760    0.726902    0.682353     2
mythical creature, weapon                          0.025330    0.019783    0.019021    0.853514    0.945287    0.892524     5
mythical creature, weapon, anthropomorphic         0.016781    0.010672    0.011518    0.983871    1.000000    0.983871     2
paper                                              0.223999    0.186046    0.108830    0.200000    0.666667    0.250000     1
planet                                             0.078264    0.076021    0.078609    0.531250    0.642857    0.545455     2
plant                                              0.069735    0.032978    0.021523    0.432985    0.638922    0.562698    12
plant, mythical creature, anthropomorphic          0.076050    0.059866    0.048349    0.250000    0.714286    0.315789     1
plant, scanned data                                0.109741    0.086138    0.084006    0.047619    0.200000    0.058824     1
scanned data                                       0.046082    0.041630    0.027063    0.433333    0.500000    0.771429     1
scanned data, character                            0.007427    0.006236    0.005490    1.000000    1.000000    1.000000     1
sculpture                                          0.067001    0.044144    0.033691    0.493651    0.615714    0.538333     5
sculpture, anthropomorphic                         0.030380    0.022830    0.021171    0.769231    0.952381    0.800000     1
sculpture, miscellaneous                           0.047821    0.029810    0.032397    0.538462    0.700000    0.863636     1
sculpture, mythical creature                       0.026825    0.021462    0.019867    0.883721    0.926829    0.950000     1
sculpture, mythical creature, miscellaneous        0.107666    0.087200    0.072241    0.186047    0.615385    0.210526     1
sculpture, toy                                     0.085571    0.064964    0.051541    0.227273    0.357143    0.428571     1
sporting goods                                     0.013336    0.009349    0.009217    1.000000    1.000000    1.000000     1
tool                                               0.061049    0.045964    0.041812    0.558127    0.673486    0.660032    30
tool, anthropomorphic                              0.049606    0.038892    0.039889    0.575000    0.769231    0.588235     2
tool, character, anthropomorphic                   0.085266    0.076486    0.079199    0.227273    0.703704    0.258621     1
toy                                                0.058316    0.049147    0.043217    0.609633    0.699861    0.743038     9
toy, accessory                                     0.340820    0.287092    0.309810    0.000000    0.000000    0.000000     1
toy, animal                                        0.051544    0.042818    0.041887    0.374912    0.589286    0.543988     2
toy, anthropomorphic                               0.031901    0.024928    0.020773    0.779853    0.846467    0.880310    19
toy, food                                          0.041199    0.031242    0.022790    0.517241    0.607143    0.833333     1
vehicle                                            0.053869    0.043455    0.033735    0.619375    0.720489    0.763030    10
weapon                                             0.064603    0.048214    0.040734    0.504331    0.611337    0.597860    42
weapon, miscellaneous                              0.058899    0.031907    0.028407    0.166667    0.333333    0.250000     1
weapon, musical instrument                         0.048340    0.037017    0.029055    0.375000    0.600000    0.500000     1
