===== Aggregate Results =====
  j2j         : 0.0318
  j2b         : 0.0242
  b2b         : 0.0205
  iou         : 0.7857
  precision   : 0.8460
  recall      : 0.8436

  Evaluated : 1994
  Skipped   : 3
  Avg infer : 5.47s/sample

Per-sample results saved to: outputs/infer_results_xl\results.csv

===== Per-Category Results =====
category_label                                          j2j         j2b         b2b         iou   precision      recall     n
accessory                                          0.109675    0.090509    0.074197    0.367982    0.432866    0.545371     7
accessory, clothing                                0.077148    0.056052    0.042084    0.333333    0.500000    0.500000     1
accessory, tool                                    0.040955    0.030999    0.031974    0.434783    0.647059    0.625000     1
anatomical                                         0.008675    0.007062    0.007157    1.000000    1.000000    1.000000     1
anatomy                                            0.040876    0.027253    0.022339    0.671408    0.748083    0.755457    44
anatomy, anthropomorphic                           0.020236    0.013267    0.014005    0.913043    0.933333    0.950000     3
anatomy, scanned data                              0.027338    0.018238    0.014446    0.793155    0.853070    0.880208     4
animal                                             0.045198    0.035093    0.028933    0.608611    0.708254    0.704354   173
animal, accessory                                  0.048279    0.034397    0.028742    0.440000    0.740741    0.488889     1
animal, anthropomorphic                            0.032749    0.027509    0.023218    0.820677    0.881425    0.843305    40
animal, electronic device, anthropomorphic         0.049988    0.034411    0.030436    0.304348    0.583333    0.388889     1
animal, miscellaneous                              0.080688    0.065103    0.047861    0.322581    0.444444    0.434783     1
animal, mythical creature                          0.034487    0.028962    0.024842    0.758966    0.831139    0.866289    14
animal, mythical creature, anthropomorphic         0.116028    0.105397    0.090049    0.200000    0.333333    0.333333     1
animal, scanned data                               0.075195    0.065475    0.052724    0.535714    0.533333    0.535714     1
animal, toy                                        0.076245    0.055298    0.047983    0.355175    0.489048    0.526869     5
anthropomorphic                                    0.029193    0.021445    0.016825    0.783317    0.870875    0.849673   111
anthropomorphic, accessory                         0.084320    0.071426    0.055647    0.213542    0.313131    0.348214     2
anthropomorphic, animal                            0.038458    0.029464    0.026778    0.674397    0.780969    0.784192     8
