===== Aggregate Results =====
  j2j         : 0.0288
  j2b         : 0.0217
  b2b         : 0.0183
  iou         : 0.8274
  precision   : 0.8696
  recall      : 0.8647

  Evaluated : 500
  Skipped   : 0
  Avg infer : 6.65s/sample

Per-sample results saved to: outputs/infer_results_xl_500\results.csv

===== Per-Category Results =====
category_label                                          j2j         j2b         b2b         iou   precision      recall     n
accessory                                          0.103493    0.064501    0.052958    0.509615    0.580000    0.666667     2
anatomy                                            0.045970    0.030742    0.023210    0.580080    0.729459    0.685340     7
animal                                             0.049584    0.040659    0.033181    0.643772    0.729363    0.712893    32
animal, anthropomorphic                            0.034041    0.026917    0.023251    0.787935    0.788007    0.801980    11
animal, mythical creature                          0.018702    0.013754    0.013134    0.950558    0.955556    0.958754     3
animal, toy                                        0.102768    0.076869    0.058190    0.400000    0.472222    0.444444     2
anthropomorphic                                    0.028539    0.021474    0.015546    0.782381    0.889734    0.807821    18
anthropomorphic, animal                            0.042053    0.025752    0.023560    0.615385    0.785714    0.571429     1
anthropomorphic, character                         0.013027    0.009741    0.009390    1.000000    0.966667    1.000000     2
anthropomorphic, clothing                          0.093689    0.073979    0.047845    0.142857    0.133333    0.235294     1
anthropomorphic, electronic device                 0.064957    0.055137    0.055914    0.448403    0.625000    0.615442     2
anthropomorphic, food                              0.007484    0.006567    0.006041    1.000000    1.000000    1.000000     1
anthropomorphic, mythical creature                 0.030825    0.019905    0.014661    0.687527    0.854167    0.683575     3
anthropomorphic, plant                             0.027283    0.020006    0.027411    0.647059    0.857143    0.785714     1
anthropomorphic, toy                               0.024527    0.017817    0.014987    0.880940    0.935959    0.872279    16
anthropomorphic, weapon                            0.027664    0.020881    0.015155    0.863636    0.950000    0.904762     1
character                                          0.013444    0.009812    0.008628    0.954766    0.967514    0.971673   162
character, anatomy                                 0.005951    0.004631    0.004830    1.000000    1.000000    1.000000     1
character, anthropomorphic                         0.020224    0.015698    0.013242    0.899136    0.920053    0.923836    90
character, anthropomorphic, mythical creature      0.021484    0.015947    0.013774    1.065217    0.976744    0.942308     1
character, anthropomorphic, toy                    0.021912    0.018340    0.014614    0.877868    0.910256    0.884103     3
character, anthropomorphic, weapon                 0.007904    0.007181    0.006820    1.000000    1.000000    1.000000     1
character, clothing                                0.012375    0.007780    0.007198    1.009615    1.000000    1.000000     2
character, electronic device                       0.008835    0.006811    0.007937    1.000000    1.000000    1.000000     1
character, mythical creature                       0.014555    0.010935    0.009119    0.957659    0.957143    0.968137     5
character, scanned data                            0.012427    0.009315    0.008161    0.953840    0.991835    0.983129    16
character, sporting goods                          0.005417    0.004504    0.004110    1.000000    1.000000    1.000000     1
character, tool                                    0.014641    0.007686    0.006828    1.000000    1.000000    1.000000     1
character, toy                                     0.019384    0.015074    0.011428    0.966849    0.916226    0.980392     3
character, toy, anthropomorphic                    0.008270    0.006717    0.006245    1.000000    1.000000    1.000000     1
character, weapon                                  0.022381    0.016686    0.015303    0.924088    0.876343    0.891195     7
clothing                                           0.022013    0.018323    0.019059    0.842437    0.881127    0.937500     4
electronic device                                  0.064611    0.041634    0.041280    0.506282    0.784314    0.579545     4
electronic device, anthropomorphic                 0.153198    0.112395    0.112827    0.000000    0.000000    0.000000     1
food                                               0.060760    0.040241    0.039488    0.090909    0.142857    0.200000     1
furniture, miscellaneous, accessory                0.211548    0.210141    0.155744    0.200000    0.333333    0.333333     1
household item                                     0.106373    0.066756    0.056184    0.509434    0.588235    0.666667     2
humanoid, sculpture                                0.042847    0.023966    0.016581    0.400000    0.481481    0.636364     1
jewelry                                            0.082642    0.053710    0.042398    0.285714    0.333333    0.666667     1
miscellaneous                                      0.054484    0.032072    0.020954    0.541667    0.661616    0.631944     3
mythical creature                                  0.058816    0.047185    0.040536    0.602527    0.641491    0.670362    19
mythical creature, anatomy                         0.029785    0.026580    0.022887    0.733333    0.916667    0.785714     1
mythical creature, animal                          0.010101    0.008273    0.008820    1.000000    1.000000    1.000000     1
mythical creature, anthropomorphic                 0.031057    0.024566    0.020858    0.762826    0.854136    0.852001    20
mythical creature, toy                             0.054977    0.045540    0.047132    0.540752    0.726902    0.682353     2
mythical creature, weapon                          0.033518    0.026295    0.024783    0.764595    0.897318    0.813627     3
paper                                              0.212891    0.160616    0.096792    0.000000    0.000000    0.000000     1
plant                                              0.074753    0.028085    0.020144    0.490741    0.777778    0.511905     3
plant, scanned data                                0.126709    0.104486    0.103182    0.050000    0.250000    0.058824     1
sculpture                                          0.008034    0.006110    0.005888    1.034483    1.000000    1.000000     1
sculpture, miscellaneous                           0.042938    0.025773    0.027275    1.285714    0.700000    0.818182     1
sculpture, mythical creature                       0.027542    0.021576    0.020353    0.860465    0.900000    0.925000     1
sporting goods                                     0.014008    0.009604    0.009396    1.000000    0.942308    0.981481     1
tool                                               0.104138    0.077899    0.062348    0.306667    0.385714    0.486667     5
toy                                                0.060629    0.049152    0.043328    0.508483    0.646198    0.708867     7
toy, animal                                        0.060608    0.054529    0.051997    0.307692    0.432432    0.516129     1
toy, anthropomorphic                               0.038391    0.029960    0.022969    0.750254    0.843655    0.795389     9
vehicle                                            0.011431    0.007220    0.007452    0.859091    0.975490    0.964286     4
weapon                                             0.104818    0.077119    0.060626    0.142857    0.177778    0.305556     3
